name,address,city,state,birth_date,gender,GPA
Emily Johnson,"224 Wilson Oval
Alexberg, IA 36307",Garciaville,South Carolina,2011-03-07,Male,1.28
Paul Decker,"3310 Williams Glens
New Alexisshire, FL 78537",Campbellberg,New Mexico,2008-09-03,Female,3.7
Charles Jensen,"023 Kathryn Parks
South William, KY 28124",Diazchester,Idaho,2009-05-05,Male,2.87
Darrell Johnson,"38300 Nicholas Locks
Kellymouth, AL 57816",North Janetton,California,2012-06-28,Unknown,2.97
Deanna Clark,"3019 Donaldson Throughway
South Matthewfort, SD 55331",Hayneschester,Texas,2009-09-20,Female,3.46
Alexis Kelley,"3064 Jonathan View Suite 913
North Matthewport, NH 01055",Josephport,Georgia,2008-09-22,Unknown,3.52
Chelsea Jones,"43100 Malone Ford Apt. 912
Port Christopher, PA 07300",Mitchellfort,North Carolina,2008-09-29,Female,4.0
Michael Smith,"8102 Howard Union
West Kristie, WY 53516",Joanfurt,Montana,2010-06-29,Female,3.33
Kellie Krueger,"84696 Rodney Course Apt. 622
Cassandrastad, ID 63804",Lake Daniel,Colorado,2008-08-26,Male,3.05
Paul Avila,"PSC 1715, Box 4222
APO AE 47882",South Dustinfurt,South Dakota,2008-05-17,Male,3.18
Mia Wolf,"7026 Butler Port
Robersonberg, MA 63392",Greeneport,West Virginia,2010-07-17,Male,4.0
Joel Harris,"683 Jose Trail Suite 231
Stephanieshire, LA 71152",Ericksonburgh,Pennsylvania,2011-09-17,Female,3.82
Paige Hansen,"561 Reyes Club
Lake Justinstad, RI 34639",Douglasland,Georgia,2010-09-14,Male,1.81
John Frazier,"449 Wesley Creek Apt. 281
Bondberg, IA 90065",West Marthastad,Arizona,2008-08-08,Female,0.0
Mr. Jason King,"USNV Salazar
FPO AE 15461",Richmondport,South Dakota,2008-12-08,Unknown,1.17
Sandra Delacruz,"6146 Lewis Mountains
Henryview, NH 83485",Port Brianland,Hawaii,2010-08-18,Female,0.0
Elizabeth Smith,"PSC 1704, Box 2427
APO AP 87172",North Connorhaven,Alaska,2012-03-06,Female,0.0
Timothy Hays,"500 Michelle Bridge
Monroeborough, AZ 35927",West Danielle,Arizona,2012-08-25,Male,4.0
